SITEID,DEM_1km_m,hosston_alt,hosston_thickness,cottonvalley_alt,cottonvalley_thickness,buckner_facies,buckner_thick,h2s_class,smackover_alt,smackover_facies,smackover_middepth,smackover_thick,smck_temp_int
58220,63.0,-1505.0,579.0,-2043.0,884.0,0,97.0,10,-2945.0,0,3015.0,18.0,97.0
17343,62.0,-1521.0,579.0,-2066.0,884.0,0,98.0,3,-2993.0,0,3064.0,18.0,97.0
58226,62.0,-1513.0,579.0,-2052.0,884.0,0,97.0,10,-2960.0,0,3007.0,19.0,97.0
59997,81.0,-1710.0,579.0,-2281.0,1006.0,0,69.0,10,-3167.0,0,3253.0,12.0,107.0
60395,81.0,-1710.0,579.0,-2281.0,1006.0,0,69.0,10,-3167.0,0,3253.0,12.0,107.0
115212,80.0,-1577.0,518.0,-2148.0,884.0,1,98.0,50,-3066.0,5,3155.0,18.0,103.0
17340,88.0,-1550.0,518.0,-2128.0,884.0,1,92.0,3,-3008.0,5,3105.0,19.0,99.0
BR-4,72.0,-1117.0,518.0,-1667.0,762.0,1,30.0,200,-2483.0,4,2569.0,28.0,75.0
45887,70.0,-1479.0,518.0,-1971.0,823.0,1,76.0,10,-2805.0,5,2888.0,25.0,92.0
17342,56.0,-1448.0,518.0,-1941.0,823.0,1,76.0,10,-2780.0,5,2849.0,25.0,91.0
17341,77.0,-1490.0,518.0,-1979.0,823.0,1,74.0,10,-2818.0,5,2907.0,24.0,92.0
115235,77.0,-1794.0,518.0,-2375.0,945.0,1,60.0,10,-3217.0,4,3300.0,14.0,102.0
17339,96.0,-1632.0,518.0,-2165.0,884.0,1,73.0,3,-3102.0,5,3208.0,20.0,110.0
17338,93.0,-1647.0,518.0,-2170.0,884.0,1,68.0,10,-3117.0,5,3220.0,20.0,111.0
17337,73.0,-1739.0,518.0,-2325.0,945.0,1,55.0,3,-3196.0,4,3278.0,18.0,104.0
17336,80.0,-1756.0,518.0,-2338.0,945.0,1,57.0,3,-3199.0,4,3288.0,17.0,104.0
17335,80.0,-1819.0,518.0,-2380.0,884.0,1,59.0,3,-3239.0,4,3325.0,13.0,103.0
BR-5,84.0,-1115.0,518.0,-1641.0,762.0,1,30.0,200,-2426.0,4,2525.0,30.0,75.0
45882,75.0,-1860.0,518.0,-2393.0,884.0,1,61.0,50,-3242.0,4,3323.0,13.0,106.0
17334,76.0,-1838.0,518.0,-2375.0,884.0,1,57.0,10,-3227.0,4,3310.0,14.0,104.0
17293,68.0,-1085.0,457.0,-1570.0,762.0,1,28.0,100,-2350.0,4,2441.0,45.0,74.0
115224,59.0,-1130.0,457.0,-1601.0,762.0,1,31.0,200,-2344.0,4,2418.0,30.0,77.0
17292,72.0,-1070.0,457.0,-1533.0,701.0,3,27.0,100,-2315.0,4,2416.0,58.0,76.0
BR-2,86.0,-1291.0,457.0,-1727.0,762.0,1,35.0,200,-2513.0,4,2617.0,35.0,84.0
BR-2-DUP,86.0,-1291.0,457.0,-1727.0,762.0,1,35.0,200,-2513.0,4,2617.0,35.0,84.0
17333,46.0,-889.0,335.0,-1201.0,701.0,3,30.0,3,-1879.0,4,1974.0,98.0,67.0
17291,58.0,-1063.0,457.0,-1507.0,762.0,3,27.0,50,-2270.0,4,2360.0,64.0,76.0
115223,71.0,-1093.0,457.0,-1557.0,701.0,1,28.0,200,-2288.0,4,2374.0,30.0,76.0
ST-1,45.0,-883.0,274.0,-1142.0,640.0,3,30.0,10,-1827.0,4,1932.0,121.0,67.0
45893,80.0,-1146.0,457.0,-1586.0,701.0,1,29.0,200,-2289.0,4,2385.0,30.0,75.0
17271,81.0,-1363.0,396.0,-1777.0,701.0,1,29.0,200,-2540.0,4,2636.0,30.0,87.0
17269,92.0,-1373.0,396.0,-1790.0,701.0,1,29.0,200,-2565.0,4,2675.0,36.0,93.0
45906,90.0,-1360.0,396.0,-1775.0,701.0,1,28.0,200,-2541.0,4,2647.0,30.0,85.0
45888,80.0,-1135.0,457.0,-1574.0,701.0,1,29.0,100,-2286.0,4,2373.0,30.0,74.0
45889,80.0,-1135.0,457.0,-1574.0,701.0,1,29.0,100,-2286.0,4,2381.0,30.0,75.0
115213,93.0,-1411.0,457.0,-1832.0,701.0,1,30.0,200,-2643.0,4,2757.0,42.0,87.0
115214,93.0,-1411.0,457.0,-1832.0,701.0,1,30.0,200,-2643.0,4,2757.0,42.0,87.0
DM-4,98.0,-1521.0,457.0,-1950.0,701.0,1,30.0,200,-2712.0,4,2825.0,30.0,87.0
45907,107.0,-1349.0,396.0,-1761.0,701.0,1,26.0,200,-2531.0,4,2656.0,35.0,86.0
DM-7,92.0,-1510.0,457.0,-1940.0,701.0,1,30.0,200,-2708.0,4,2815.0,30.0,87.0
46087,87.0,-1343.0,396.0,-1756.0,701.0,1,26.0,200,-2508.0,4,2611.0,32.0,84.0
46086,87.0,-1343.0,396.0,-1756.0,701.0,1,26.0,200,-2508.0,4,2611.0,32.0,84.0
45892,65.0,-1093.0,457.0,-1543.0,701.0,3,26.0,100,-2276.0,4,2358.0,36.0,73.0
17274,67.0,-1319.0,457.0,-1745.0,701.0,1,23.0,200,-2511.0,4,2594.0,30.0,89.0
17273,76.0,-1325.0,457.0,-1749.0,701.0,1,23.0,200,-2515.0,4,2613.0,30.0,88.0
17272,86.0,-1329.0,396.0,-1748.0,701.0,1,24.0,50,-2511.0,4,2623.0,30.0,83.0
17268,91.0,-1332.0,396.0,-1747.0,701.0,1,24.0,100,-2509.0,4,2617.0,32.0,78.0
DM-6,101.0,-1542.0,457.0,-1952.0,701.0,1,30.0,200,-2714.0,4,2832.0,34.0,88.0
17287,80.0,-1088.0,457.0,-1536.0,701.0,3,25.0,50,-2259.0,4,2360.0,41.0,73.0
17285,70.0,-1101.0,457.0,-1544.0,701.0,3,27.0,100,-2286.0,4,2374.0,36.0,73.0
DM-2,107.0,-1521.0,457.0,-1940.0,701.0,1,30.0,200,-2706.0,4,2828.0,30.0,88.0
17281,83.0,-1170.0,396.0,-1594.0,701.0,3,29.0,200,-2358.0,4,2467.0,53.0,74.0
DM-3,106.0,-1517.0,457.0,-1933.0,701.0,1,30.0,200,-2692.0,4,2813.0,30.0,86.0
17260,88.0,-1638.0,396.0,-2011.0,762.0,1,29.0,200,-2806.0,4,2910.0,31.0,93.0
DM-5-DUP,82.0,-1605.0,396.0,-1969.0,762.0,1,30.0,200,-2736.0,4,2848.0,61.0,94.0
DM-5,82.0,-1605.0,396.0,-1969.0,762.0,1,30.0,200,-2736.0,4,2848.0,61.0,94.0
45894,81.0,-1068.0,457.0,-1509.0,701.0,3,23.0,100,-2218.0,4,2328.0,57.0,75.0
115211,93.0,-1153.0,396.0,-1575.0,701.0,3,30.0,200,-2341.0,4,2459.0,51.0,74.0
17275,70.0,-1287.0,457.0,-1718.0,701.0,1,22.0,200,-2469.0,4,2555.0,30.0,88.0
115210,93.0,-1148.0,396.0,-1569.0,701.0,3,30.0,200,-2329.0,4,2447.0,50.0,74.0
17286,82.0,-1087.0,396.0,-1523.0,701.0,3,26.0,100,-2265.0,4,2373.0,52.0,76.0
