buckner_facies,buckner_thick,cottonvalley_alt,cottonvalley_thickness,h2s_class,hosston_alt,hosston_thickness,smackover_alt,smackover_facies,smackover_middepth,smackover_thick,smck_temp_int
0,33.0,-1253.0,156.0,10,-975.0,271.0,-1354.0,0,1450.0,0.0,72.0
0,35.0,-1226.0,187.0,10,-973.0,227.0,-1349.0,0,1438.0,0.0,72.0
0,34.0,-1198.0,214.0,10,-968.0,213.0,-1343.0,0,1428.0,0.0,72.0
0,33.0,-1172.0,239.0,10,-960.0,213.0,-1339.0,0,1422.0,0.0,72.0
0,32.0,-1150.0,269.0,3,-951.0,213.0,-1337.0,0,1420.0,1.0,72.0
0,32.0,-1133.0,274.0,3,-940.0,210.0,-1337.0,0,1420.0,1.0,72.0
0,29.0,-1119.0,274.0,3,-929.0,200.0,-1341.0,0,1425.0,4.0,72.0
2,25.0,-1105.0,274.0,3,-918.0,190.0,-1349.0,0,1439.0,12.0,71.0
2,24.0,-1091.0,274.0,3,-910.0,184.0,-1361.0,0,1457.0,22.0,72.0
2,31.0,-1083.0,274.0,3,-905.0,183.0,-1376.0,0,1475.0,30.0,73.0
3,39.0,-1085.0,273.0,3,-904.0,188.0,-1394.0,0,1500.0,41.0,72.0
3,39.0,-1094.0,273.0,3,-907.0,196.0,-1410.0,2,1522.0,50.0,72.0
3,36.0,-1107.0,275.0,3,-914.0,206.0,-1423.0,2,1541.0,49.0,73.0
3,34.0,-1120.0,280.0,3,-921.0,212.0,-1442.0,2,1557.0,43.0,74.0
3,32.0,-1134.0,296.0,3,-929.0,213.0,-1462.0,2,1566.0,32.0,74.0
3,30.0,-1146.0,322.0,3,-935.0,213.0,-1482.0,2,1593.0,30.0,73.0
3,29.0,-1151.0,334.0,3,-939.0,213.0,-1492.0,2,1619.0,30.0,73.0
3,28.0,-1149.0,335.0,3,-938.0,213.0,-1491.0,2,1626.0,31.0,73.0
3,28.0,-1142.0,335.0,3,-932.0,213.0,-1488.0,2,1621.0,34.0,73.0
3,29.0,-1131.0,335.0,3,-921.0,213.0,-1481.0,2,1619.0,40.0,74.0
3,34.0,-1118.0,336.0,3,-908.0,213.0,-1468.0,2,1600.0,44.0,74.0
3,40.0,-1104.0,339.0,3,-892.0,213.0,-1448.0,2,1592.0,46.0,72.0
3,46.0,-1090.0,358.0,3,-878.0,213.0,-1435.0,2,1578.0,50.0,71.0
3,51.0,-1077.0,384.0,3,-872.0,213.0,-1435.0,2,1568.0,54.0,71.0
3,57.0,-1067.0,391.0,3,-871.0,214.0,-1441.0,2,1573.0,61.0,70.0
3,60.0,-1063.0,377.0,3,-873.0,220.0,-1449.0,2,1586.0,64.0,68.0
3,61.0,-1063.0,346.0,3,-873.0,227.0,-1459.0,2,1604.0,62.0,67.0
3,61.0,-1062.0,336.0,3,-869.0,232.0,-1457.0,2,1594.0,60.0,66.0
3,61.0,-1058.0,334.0,3,-865.0,232.0,-1449.0,2,1585.0,61.0,66.0
3,61.0,-1056.0,328.0,3,-868.0,227.0,-1443.0,2,1589.0,61.0,65.0
3,61.0,-1059.0,317.0,3,-873.0,217.0,-1440.0,2,1594.0,62.0,65.0
3,61.0,-1070.0,294.0,3,-879.0,213.0,-1433.0,2,1580.0,63.0,64.0
3,61.0,-1086.0,275.0,3,-884.0,208.0,-1416.0,2,1561.0,64.0,64.0
3,61.0,-1103.0,241.0,3,-881.0,166.0,-1396.0,2,1551.0,64.0,64.0
3,61.0,-1115.0,203.0,3,-869.0,152.0,-1383.0,2,1533.0,65.0,64.0
3,61.0,-1120.0,162.0,3,-856.0,130.0,-1380.0,2,1516.0,68.0,64.0
3,61.0,-1116.0,155.0,3,-844.0,95.0,-1380.0,2,1510.0,70.0,64.0
3,61.0,-1104.0,170.0,3,-835.0,107.0,-1390.0,2,1513.0,71.0,64.0
3,61.0,-1083.0,204.0,3,-828.0,147.0,-1394.0,2,1521.0,71.0,64.0
3,61.0,-1058.0,215.0,3,-818.0,170.0,-1389.0,2,1529.0,73.0,64.0
3,61.0,-1036.0,228.0,3,-801.0,210.0,-1368.0,2,1510.0,76.0,64.0
3,61.0,-1012.0,264.0,3,-776.0,215.0,-1349.0,2,1488.0,79.0,64.0
3,61.0,-979.0,280.0,3,-745.0,218.0,-1344.0,2,1495.0,82.0,64.0
3,61.0,-937.0,300.0,3,-712.0,214.0,-1334.0,2,1474.0,82.0,63.0
3,61.0,-893.0,326.0,3,-679.0,213.0,-1314.0,2,1443.0,79.0,63.0
3,61.0,-855.0,335.0,3,-651.0,213.0,-1275.0,2,1399.0,75.0,63.0
3,61.0,-827.0,335.0,3,-631.0,213.0,-1239.0,2,1358.0,67.0,63.0
3,61.0,-811.0,335.0,3,-623.0,213.0,-1212.0,2,1321.0,60.0,62.0
3,61.0,-808.0,335.0,3,-622.0,213.0,-1185.0,2,1289.0,52.0,61.0
3,61.0,-814.0,335.0,3,-627.0,212.0,-1162.0,2,1257.0,46.0,60.0
3,61.0,-826.0,333.0,3,-634.0,205.0,-1158.0,2,1244.0,40.0,60.0
3,61.0,-837.0,323.0,3,-640.0,192.0,-1162.0,2,1237.0,37.0,60.0
3,61.0,-842.0,306.0,3,-646.0,173.0,-1161.0,2,1228.0,35.0,59.0
3,61.0,-842.0,290.0,3,-651.0,158.0,-1153.0,2,1221.0,37.0,59.0
3,61.0,-838.0,279.0,3,-657.0,151.0,-1142.0,1,1209.0,41.0,59.0
3,60.0,-833.0,272.0,3,-662.0,130.0,-1123.0,1,1188.0,41.0,58.0
3,57.0,-828.0,257.0,3,-668.0,98.0,-1111.0,1,1176.0,39.0,57.0
3,48.0,-824.0,240.0,3,-675.0,91.0,-1103.0,1,1166.0,35.0,56.0
3,35.0,-823.0,232.0,3,-684.0,91.0,-1088.0,1,1145.0,27.0,55.0
2,21.0,-826.0,235.0,3,-693.0,91.0,-1068.0,1,1117.0,15.0,55.0
2,11.0,-833.0,261.0,3,-704.0,91.0,-1045.0,1,1087.0,3.0,55.0
2,4.0,-843.0,281.0,3,-714.0,114.0,-1042.0,1,1084.0,0.0,54.0
0,-0.0,-855.0,325.0,10,-724.0,150.0,-1049.0,0,1095.0,0.0,55.0
0,-3.0,-869.0,336.0,10,-733.0,152.0,-1065.0,0,1113.0,0.0,55.0
0,-5.0,-883.0,365.0,10,-741.0,152.0,-1066.0,0,1119.0,0.0,55.0
0,-7.0,-896.0,381.0,10,-748.0,151.0,-1064.0,0,1119.0,0.0,55.0
0,-9.0,-907.0,360.0,10,-755.0,123.0,-1064.0,0,1122.0,0.0,55.0
0,-10.0,-914.0,338.0,10,-760.0,94.0,-1080.0,0,1141.0,1.0,55.0
0,-9.0,-917.0,335.0,10,-764.0,91.0,-1100.0,0,1162.0,4.0,55.0
0,-8.0,-919.0,330.0,10,-774.0,68.0,-1118.0,0,1184.0,10.0,55.0
0,-8.0,-920.0,301.0,10,-790.0,32.0,-1128.0,0,1197.0,21.0,55.0
0,-7.0,-921.0,277.0,3,-810.0,30.0,-1117.0,0,1191.0,32.0,57.0
0,-7.0,-923.0,274.0,3,-832.0,30.0,-1100.0,0,1184.0,36.0,58.0
0,-8.0,-924.0,265.0,3,-854.0,30.0,-1083.0,0,1169.0,30.0,59.0
0,-11.0,-925.0,246.0,3,-876.0,30.0,-1067.0,0,1153.0,23.0,59.0
0,-15.0,-925.0,226.0,10,-896.0,30.0,-1056.0,0,1139.0,14.0,59.0
0,-18.0,-926.0,215.0,10,-911.0,30.0,-1055.0,0,1125.0,6.0,61.0
0,-20.0,-926.0,205.0,10,-923.0,30.0,-1059.0,0,1121.0,1.0,62.0
0,-21.0,-927.0,185.0,10,-936.0,30.0,-1061.0,0,1117.0,0.0,64.0
0,-21.0,-929.0,162.0,3,-951.0,30.0,-1064.0,0,1115.0,0.0,65.0
0,-21.0,-931.0,139.0,3,-967.0,30.0,-1066.0,0,1127.0,0.0,66.0
0,-21.0,-935.0,108.0,3,-984.0,44.0,-1067.0,0,1138.0,0.0,67.0
0,-19.0,-940.0,83.0,3,-1002.0,86.0,-1067.0,0,1140.0,0.0,66.0
0,-18.0,-946.0,46.0,3,-1021.0,91.0,-1067.0,0,1127.0,0.0,66.0
0,-16.0,-953.0,31.0,3,-1039.0,103.0,-1067.0,0,1129.0,0.0,66.0
0,-13.0,-962.0,-3048.0,3,-1057.0,142.0,-1067.0,0,1141.0,2.0,66.0
0,-10.0,-972.0,-3048.0,3,-1069.0,153.0,-1067.0,1,1140.0,8.0,64.0
0,-7.0,-983.0,-3048.0,3,-1083.0,163.0,-1067.0,1,1142.0,13.0,62.0
0,-3.0,-995.0,-3048.0,3,-1099.0,192.0,-1067.0,1,1146.0,16.0,63.0
0,0.0,-1007.0,-3048.0,3,-1116.0,210.0,-1067.0,1,1144.0,19.0,64.0
0,44.0,-1286.0,198.0,10,-1022.0,269.0,-1422.0,1,1513.0,3.0,72.0
