DSOURCE,IDDB,SITEID,WELLNAME,FIELD,WELLTYPE,LATITUDE,LONGITUDE,STATE,COUNTY,REGION,PROVINCE,BASIN,DEPTHUPPER,DEPTHLOWER,FORMATION,FRM_GRP,TYPESAMPLE,LOCSAMPLE,DATESAMPLE,TEMP,PH,PHT,COND,SG,TDS,H2S,Br,Cl,SO4,B,Ba,Ca,FeTot,K,Li,Mg,Mn,Na,Si,Sr,Al,As,Be,Cd,Co,Cu,Cr,Hg,Mo,Ni,Pb,U,V,Zn,DIC,NPOC,Acetate,dD_H2O,d18O_H2O
AR2022,AR2022,MW-2,MSU 15-5,Midway,Oil,33.4587,-93.5793,Arkansas,Lafayette,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,6660.0,Smackover,Smackover,sample,WH,8/24/2022,65.56,5.68,37.53,218.7,1.16,232000.0,-8888.0,3940,129000,319,73,3.17,25700,32.3,1340,54.3,3060,18,48000,8.50,1120,<0.556,<0.232,<0.0324,0.0477,<0.0926,<0.0926,<0.037,<0.185,<0.185,<0.139,2.9,<1.39,<0.0926,35.3,10.07,10.09,4.16,-0.95,1.87
AR2022,AR2022,MW-1,MSU 3-22,Midway,Oil,33.44381,-93.52907,Arkansas,Lafayette,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,6487.0,Smackover,Smackover,sample,WH,8/24/2022,60.0,5.49,37.7,232.3,1.19,269000.0,-9999.0,5070,155000,244,66.9,8.5,35300,48,1410,56.7,3400,>54,54000,7.23,1370,<0.652,<0.272,<0.038,0.142,<0.109,<0.109,<0.217,<0.217,<0.217,<0.163,11.7,<1.63,<0.109,105,9.899,9.685,1.64,2.85,2.62
AR2022,AR2022,ST-1,King B-3,Strong,Oil,33.15130995,-92.27663002,Arkansas,Union,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,5700.0,Cotton Valley,Cotton Valley,sample,WH,8/26/2022,46.11,6.03,38.5,165.8,1.11,156000.0,-8888.0,1280,87600,<17.9,42.8,220,12700,71.2,274,6.77,1600,2.34,40000,7.96,687,<0.374,<0.156,<0.0218,<0.0187,<0.0624,<0.0624,<0.025,<0.125,<0.125,<0.0936,<0.25,<0.936,<0.0624,<0.312,12.97,3.45,1.7,-11.57,0.91
AR2022,AR2022,SM-2,Fincher #11,Smackover,Oil,33.39107275,-92.77074501,Arkansas,Ouachita,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,2274.0,2385.0,Nacatoch,Nacatoch,sample,WH,8/25/2022,65.56,6.96,28.58,44.2,1.02,29000.0,-8888.0,210,15800,3.81,18,5.9,957,4.82,77.4,0.654,314,0.122,8720,9.42,78.5,<0.12,<0.05,<0.007,<0.006,<0.02,<0.02,<0.008,<0.04,<0.04,<0.03,<0.08,<0.3,<0.02,<0.1,61.81,6.706,-9999,-25.29,-4.5
AR2022,AR2022,SM-2-DUP,Fincher #11 DUP,Smackover,Oil,33.39107275,-92.77074501,Arkansas,Ouachita,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,2274.0,2385.0,Nacatoch,Nacatoch,field duplicate,WH,8/25/2022,65.56,6.95,28.86,44.22,1.02,29000.0,-9999.0,220,16000,3.76,18.2,5.65,938,5.83,76.6,0.665,310,0.119,9140,9.55,79.2,<0.12,<0.05,<0.007,<0.006,<0.02,<0.02,<0.008,<0.04,<0.04,<0.03,<0.08,<0.3,<0.02,<0.1,63.32,6.889,-8888,-23.85,-4.46
AR2022,AR2022,SM-1,Synder #14,Smackover,Oil,33.37162628,-92.64124163,Arkansas,Ouachita,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,2482.5,2734.0,Nacatoch,Nacatoch,sample,WH,8/25/2022,73.89,6.25,31.97,107.8,1.06,83000.0,-8888.0,659,46200,<96.2,25.3,24.5,4660,44.7,214,4.28,917,1.1,22300,7.38,301,<0.2,<0.0835,<0.0117,<0.01,<0.0334,<0.0334,0.257,<0.0668,<0.0668,0.0955,<0.134,<0.501,<0.0334,6.2,47.15,5.57,1.79,-18.89,-2.97
AR2022,AR2022,BR-2,BSW 12 M,-9999,Brine,33.13541,-92.94994,Arkansas,Union,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,8700.0,Smackover,Smackover,sample,SEP,8/23/2022,85.0,5.53,44.82,251.7,1.23,340000.0,179.4,5510,193000,140,212,26.1,39900,<0.486,3160,252,3130,17.8,70800,9.20,2490,<0.811,<0.338,<0.0473,<0.0406,<0.135,<0.135,<0.27,<0.27,<0.27,<0.203,<0.541,<2.03,<0.135,<0.338,10.5,8.259,6.96,4.91,5.79
AR2022,AR2022,BR-2-DUP,BSW 12 M DUP,-9999,Brine,33.13541,-92.94994,Arkansas,Union,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,8700.0,Smackover,Smackover,field duplicate,SEP,8/23/2022,85.0,5.6,43.25,250.3,1.22,343000.0,217.6,5300,187000,155,241,26.8,37100,<0.483,3290,241,3150,17.7,72800,9.02,2550,<0.811,<0.338,<0.0473,<0.0406,<0.135,<0.135,<0.0541,<0.27,<0.27,<0.203,<0.541,<2.03,<0.135,<0.676,10.33,7.333,7.34,4.49,5.8
AR2022,AR2022,BR-1,BSW 14,-9999,Brine,33.210634,-92.805588,Arkansas,Union,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,9604.0,Smackover,Smackover,sample,SEP,8/23/2022,76.67,5.94,48.15,241.7,1.19,281000.0,97.9,4450,159000,197,112,1.25,32200,<0.398,1150,84.1,3300,1.22,61000,9.71,1500,<0.682,<0.284,<0.0398,<0.0341,<0.114,<0.114,<0.227,<0.227,<0.227,<0.17,<0.454,<1.7,<0.114,<0.284,17.09,24.07,19.81,-0.78,5.08
AR2022,AR2022,BR-3,BSW 18M,-9999,Brine,33.23903,-92.93718,Arkansas,Union,Gulf Coast,Louisiana-Mississippi Salt Basins,Arkla,-9999.0,7725.0,Smackover,Smackover,sample,SEP,8/23/2022,81.67,5.91,38.9,242.4,1.2,290000.0,78.7,4750,167000,195,110,4.18,32800,0.489,1150,76,3410,1.32,64200,8.95,1620,<0.697,<0.29,<0.0407,<0.0349,<0.116,<0.116,<0.232,<0.232,<0.232,<0.174,<0.465,<1.74,<0.116,<0.29,15.68,19.96,-9999,-1.15,5.53
