case_id,sample_id,sample_type,model_basis,temperature_C,aqueous_pH,TOPO_wt_pct_in_organic,TDS_feature_mg_L,Li_feed_mg_L,Na_mg_L,Na_Li_mass_ratio,organic_to_aqueous_mass_ratio,stage_count,one_stage_Li_extraction_pct,one_stage_Na_extraction_pct,three_stage_Li_cumulative_pct,three_stage_Na_cumulative_pct,D_Li_phase_ratio_corrected,D_Na_phase_ratio_corrected,selectivity_Li_Na,validity_flag,validity_notes
ms2_clean_li_na_nominal,0,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
temperature_C_low,1,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
temperature_C_high,2,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
aqueous_pH_low,3,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
aqueous_pH_high,4,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
TOPO_wt_pct_in_organic_low,5,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
TOPO_wt_pct_in_organic_high,6,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
Na_Li_mass_ratio_low,7,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
Na_Li_mass_ratio_high,8,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,19.508121092809393,7.065340231290518,47.8497739208126,19.73371921127699,0.24236135816015433,0.07602481408846104,3.1879243779293853,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
Li_feed_mg_L_low,9,seed_anchor,source_backed_rezaee_target_distribution_surrogate,23.0,10.4,10.0,305000.0,100.0,64100.00000000001,641.0000000000001,1.0,3,17.230164718832825,6.770052315520546,43.29566354636266,18.96617828855225,0.2081696146948023,0.07261671258716793,2.866690149941983,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
