item_key,title,date,doi,item_type,collections,source
3NMV5MF2,Thermodynamic modeling of lithium extraction from synthetic brine using deep eutectic solvents: A PC-SAFT approach,2026-10-01,10.1016/j.fluid.2026.114737,journalArticle,DI6WN52Q;LYN9RATQ;U7WH3IY4,zotero_local_api_lithium_recovery_recursive
SBWHZ8NI,Enhancing lithium extraction with π‐electron donor‐based ionic liquids: Molecular thermodynamics and dynamic insights,2025-09-30,10.1002/AIC.70063;JOURNAL:JOURNAL:15475905;PAGEGROUP:STRING:PUBLICATION,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
5HLW3Y8W,Advances in lithium recovery from complex and dilute brines: a comprehensive review,2025-08-13,10.1080/00084433.2025.2540724,journalArticle,ZT7CGW39;MHCU6RCL;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
JUNBXVTI,Influence Mechanism of Coexisting Ions on the Extraction Efficiency of Lithium from Oil and Gas Field Water,2025-07-29,10.3390/W17152258,journalArticle,DI6WN52Q;MHCU6RCL;Q9K6AUUN;SAVYNVAK;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
6BX4DDCU,Research Advances in Solvent Extraction of Lithium: The Potential of Ionic Liquids,2025-07-01,10.1002/ADFM.202423566,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
ACPDMKEZ,Recovery of Li⁺ from oilfield produced water using La₂O₃-coated lithium ion-sieves,2025-06-01,10.1016/j.jece.2025.116177,journalArticle,MHCU6RCL;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
2GHKXGZ7,Lithium recovery from U.S. oil and gas produced waters: resource quality and siting considerations,2025,10.1039/d4ew00422a,journalArticle,SAVYNVAK;ZT7CGW39;MHCU6RCL;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
GYYIQSHR,Lithium extraction from salt-lake brines using dicationic ionic liquids: ePC-SAFT modeling and molecular mechanisms,2025,10.1002/aic.18907,journalArticle,Q9K6AUUN;SAVYNVAK;WSI3RELX,zotero_local_api_lithium_recovery_recursive
NDEBX6D2,Comparative feasibility of lithium extraction technologies in U.S. oilfields,2025,10.1016/j.dwt.2025.101128,journalArticle,Q9K6AUUN;SAVYNVAK;LYN9RATQ;WSI3RELX;ZT7CGW39,zotero_local_api_lithium_recovery_recursive
6FTTTP69,"A review on assessment of ionic liquids in extraction of lithium, nickel, and cobalt vis-à-vis conventional methods",2025,10.1039/d4ra08429b,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
E5FVQEBP,"Challenges and opportunities of recovering lithium from seawater, produced water, geothermal brines, and salt lakes using conventional and emerging technologies",2024-10-15,10.1016/j.cej.2024.155349,journalArticle,MHCU6RCL;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
GRFBTGNJ,Continuous lithium extraction from brine by efficient redox-couple electrodialysis,2024-08-21,10.1016/J.MATT.2024.07.014,journalArticle,SAVYNVAK;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
JY97C3CW,Ionic liquid for selective extraction of lithium ions from Tibetan salt lake brine with high Na/Li ratio,2024-04-06,10.1016/j.desal.2023.117274,journalArticle,SAVYNVAK;J9VJRWEV;Q9K6AUUN;DI6WN52Q;WSI3RELX,zotero_local_api_lithium_recovery_recursive
CGJJSXYG,The recovery and separation of lithium by using solvent extraction methods,2024,10.1016/j.ccr.2024.215727,journalArticle,Q9K6AUUN;DI6WN52Q;SAVYNVAK;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
V7EN7V3S,Solvent extraction of lithium from brines with high magnesium/lithium ratios: investigation on parameter interactions,2024,10.1007/s11356-024-34617-8,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
DQ2M7ZG8,Selective extraction of lithium over alkali and alkaline earth ions by synergistic solvent extraction,2024,10.1039/d4gc04760e,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
IRHPHQHI,Lithium extraction via capacitive deionization: AlF3 coated LiMn2O4 spheres for enhanced performance,2024,10.1016/j.desal.2024.118035,journalArticle,SAVYNVAK;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
8YXWUBCJ,Lithium extraction from low-quality brines,2024,10.1038/s41586-024-08117-1,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;LYN9RATQ;WSI3RELX,zotero_local_api_lithium_recovery_recursive
T2898LQT,Lithium extraction from brine through a decoupled and membrane-free electrochemical cell design,2024,10.1126/science.adg8487,journalArticle,SAVYNVAK;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
3QTF872X,Lithium and Boron Recovery From Oil Field Produced Water: A Mini Review,2024,10.1007/978-981-99-1111-0_11,report,ZT7CGW39;MHCU6RCL;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
FGAE94M4,Li+ Extraction from Aqueous Medium Using Tetracyanoborate Ionic Liquids─Experiments and ePC-SAFT Modeling,2024,10.1021/acs.jced.4c00074,journalArticle,U7WH3IY4;HQQSB3WC;MHCU6RCL;J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
SLMXCPZM,Highly efficient lithium extraction from magnesium-rich brines with ionic liquid-based collaborative extractants: Thermodynamics and molecular insights,2024,10.1016/j.ces.2023.119682,journalArticle,U7WH3IY4;HQQSB3WC;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
HGPATNIR,Exploring lithium extraction technologies in oil and gas field-produced waters: from waste to valuable resource,2024,10.1016/j.ceja.2024.100680,journalArticle,Q9K6AUUN;SAVYNVAK;WSI3RELX,zotero_local_api_lithium_recovery_recursive
6TD5NWA8,Direct lithium extraction from Canadian oil and gas produced water using functional ionic liquids – A preliminary study,2024,10.1016/j.apgeochem.2024.106126,journalArticle,Q9K6AUUN;SAVYNVAK;DI6WN52Q;J9VJRWEV;WSI3RELX,zotero_local_api_lithium_recovery_recursive
8QREFQB8,"A comprehensive review of lithium extraction: From historical perspectives to emerging technologies, storage, and environmental considerations",2024,10.1016/j.clet.2024.100749,journalArticle,SAVYNVAK;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
DSLJER2U,"Lithium recovery from oil and gas produced water: Opportunities, challenges, and future outlook",2023-10-01,10.1016/j.jwpe.2023.104148,journalArticle,SAVYNVAK;MHCU6RCL;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
DIRN6TP8,Recovery of Lithium from Oilfield Brines—Current Achievements and Future Perspectives: A Mini Review,2023-09-15,10.3390/EN16186628,journalArticle,ZT7CGW39;MHCU6RCL;Q9K6AUUN,zotero_local_api_lithium_recovery_recursive
QK68DDTQ,Synthesis of functional ionic liquids with high extraction rate and electroconductivity for lithium-magnesium separation and metallic magnesium production from salt lake brine,2023-01-15,10.1016/j.cej.2022.139610,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
3IFL4MCS,Reviewing Advanced Treatment of Hydrocarbon-Contaminated Oilfield-Produced Water with Recovery of Lithium,2023,10.3390/su152216016,journalArticle,Q9K6AUUN;SAVYNVAK;WSI3RELX,zotero_local_api_lithium_recovery_recursive
2YZSXQYP,Lithium Concentration from Salt-Lake Brine by Donnan-Enhanced Nanofiltration,2023,10.1021/acs.est.2c08584,journalArticle,SAVYNVAK;NWDQN258;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
SXLLKZBR,Environmental impact of direct lithium extraction from brines,2023,10.1038/s43017-022-00387-5,journalArticle,SAVYNVAK;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
QEZ25H7F,Extraction of Lithium from Brine with a High Mg/Li Ratio Using Polymer Inclusion Membrane Containing Tri-n-butyl Phosphate and Ionic Liquid,2022-12-01,10.1007/s40831-022-00592-y,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
Z4TRS64E,"Mechanism and process for the extraction of lithium from the high magnesium brine with N,N-bis(2-ethylhexyl)-2-methoxyacetamide in kerosene and FeCl3",2022-09-25,10.1016/J.JIEC.2022.05.053,journalArticle,DI6WN52Q;Q9K6AUUN;LYN9RATQ,zotero_local_api_lithium_recovery_recursive
T9NN5432,Recent Advances in the Lithium Recovery from Water Resources: From Passive to Electrochemical Methods,2022,10.1002/advs.202201380,journalArticle,SAVYNVAK;Q9K6AUUN;WSI3RELX,zotero_local_api_lithium_recovery_recursive
G685E3VC,Direct Lithium Extraction,2022,,journalArticle,Q9K6AUUN;SAVYNVAK;WSI3RELX,zotero_local_api_lithium_recovery_recursive
MUCUBVLF,Recovery of Lithium from Brine with a High Mg/Li Ratio Using Hydroxyl-Functionalized Ionic Liquid and Tri-n-butyl Phosphate,2021-03-01,10.1007/s40831-020-00331-1,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
GK598336,Synergistic Deep Eutectic Solvents for Lithium Extraction,2021-02-08,10.1021/acssuschemeng.0c07606,journalArticle,LYN9RATQ,zotero_local_api_lithium_recovery_recursive
UBWCFMKD,Selective separation of lithium from the high magnesium brine by the extraction system containing phosphate-based ionic liquids,2021,10.1016/j.seppur.2021.119051,journalArticle,J9VJRWEV;Q9K6AUUN;DI6WN52Q,zotero_local_api_lithium_recovery_recursive
