source_id,site_id,well_name,field,county,state,formation,sample_date,sample_location,latitude,longitude,depth_upper_ft,depth_lower_ft,analyte,value,units,reported_status,component_group,modeling_use,notes
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,TEMP,61.67,degC,reported,bulk_property,temperature_basis,"Actual clean USGS southern-Arkansas Smackover row selected as Phase 9 base case."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,pH,5.77,pH,reported,bulk_property,pretreatment_and_speciation_context,"pH measured at source row; PHT is 29.5 degC in source file."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,specific_gravity,1.21,dimensionless,reported,bulk_property,density_proxy,"Specific gravity retained for future mass/volume conversion."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,TDS,305000.0,mg/L,reported,bulk_property,tds_basis,"Equal to the clean local Smackover sample median TDS."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Li,168.0,mg/L,reported,major_target,primary_product_basis,"Selected base lithium concentration for the Phase 9 skeleton."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Na,64100.0,mg/L,reported,major_cation,li_na_selectivity_basis,"Primary monovalent competitor for Li/Na solvent-extraction showcase."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,K,2300.0,mg/L,reported,major_cation,competing_ion_context,"Included in feed chemistry and future surrogate features."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Mg,3310.0,mg/L,reported,divalent_cation,pretreatment_driver,"Major divalent competitor; should be removed or explicitly modeled before extraction."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Ca,36900.0,mg/L,reported,divalent_cation,pretreatment_driver,"Large divalent burden; central reason pretreatment must be explicit."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Sr,1940.0,mg/L,reported,divalent_cation,pretreatment_driver,"Important alkaline-earth co-contaminant for pretreatment and scaling."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Ba,8.39,mg/L,reported,divalent_cation,pretreatment_context,"Reported but much lower than Ca/Sr/Mg in the selected base row."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Cl,174000.0,mg/L,reported,major_anion,charge_and_tds_basis,"Dominant anion and salinity basis."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Br,2700.0,mg/L,reported,major_anion,brine_context,"Important brine marker and Arkansas brine-infrastructure context."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,SO4,184.0,mg/L,reported,anion,pretreatment_context,"Included for charge and scaling context."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,B,163.0,mg/L,reported,critical_or_minor,critical_mineral_context,"Reported boron value; keep separate from lithium solvent-extraction claim."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,H2S,196.4,mg/L,reported,pretreatment_contaminant,pretreatment_context,"May affect pretreatment and materials handling; not part of current extraction model."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,FeTot,0.438,mg/L,censored_less_than,trace_metal,pretreatment_context,"Source value is <0.438; numeric value is the reporting threshold."
AR2022,MS-2,MSPU 4-W1,Magnolia Smackover Production Unit,Columbia,Arkansas,Smackover,2022-08-24,WH,33.24815266,-93.09944731,7493.0,7495.0,Mn,2.48,mg/L,reported,trace_metal,pretreatment_context,"Reported trace metal."
