case_id,sample_id,sample_type,model_basis,temperature_C,aqueous_pH,TOPO_wt_pct_in_organic,TDS_feature_mg_L,Li_feed_mg_L,Na_mg_L,Na_Li_mass_ratio,organic_to_aqueous_mass_ratio,stage_count,one_stage_Li_extraction_pct,one_stage_Na_extraction_pct,three_stage_Li_cumulative_pct,three_stage_Na_cumulative_pct,D_Li_phase_ratio_corrected,D_Na_phase_ratio_corrected,selectivity_Li_Na,validity_flag,validity_notes
ms2_clean_li_na_nominal,0,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
temperature_C_low,1,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
temperature_C_high,2,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
aqueous_pH_low,3,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
aqueous_pH_high,4,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
TOPO_wt_pct_in_organic_low,5,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
TOPO_wt_pct_in_organic_high,6,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
Na_Li_mass_ratio_low,7,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
Na_Li_mass_ratio_high,8,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,168.0,64100.00000000001,381.5476190476191,1.0,3,50.658757959630854,5.667143540616596,87.9875876265779,16.056136035119827,1.0267021231079623,0.06007603027537579,17.090046036693458,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
Li_feed_mg_L_low,9,seed_anchor,calibrated_rezaee_section32_doe_basis_surface_distribution_surrogate,23.0,10.4,10.0,305000.0,100.0,64100.00000000001,641.0000000000001,1.0,3,53.04588632032063,5.282887700870759,89.64807918582116,15.026139988567023,1.1297388484893847,0.05577543035926494,20.255134585469353,calibrated_surface_with_warnings,outside_rezaee_doe_na_li
