field,n,min,median,max,units,source_note
Li,13,11.7,98.7,252.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded; numeric censoring markers stripped only for summary."
TDS,13,156000.0,305000.0,340000.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Na,13,37100.0,64100.0,70800.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
K,13,351.0,1970.0,3160.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Mg,13,2250.0,3250.0,3720.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Ca,13,13900.0,36300.0,39900.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Sr,13,907.0,1940.0,2490.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Ba,13,1.25,7.85,26.1,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Cl,13,89100.0,174000.0,193000.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
Br,13,861.0,4550.0,5790.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
SO4,13,140.0,184.0,319.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
B,13,47.5,141.0,212.0,mg/L,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
pH,13,5.21,5.79,6.05,pH,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
TEMP,13,27.78,76.67,94.44,degC,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
SG,13,1.11,1.21,1.23,dimensionless,"Clean Smackover rows from build/smackover_sar_li/input/usgs_southAR/southAR_brines_2022.txt; duplicate and blank rows excluded."
