target_group,target_id,source,T_C,pH,topo_wt_pct,na_li_mass_ratio,oa_ratio_assumed,li_extraction_pct_exp,na_extraction_pct_exp,D_Li_from_extraction,D_Na_from_extraction,S_Li_Na_from_extraction,si_median_D_Li_molfrac_proxy,si_median_D_Na_molfrac_proxy,si_median_S_Li_Na_molfrac_proxy,model_status,notes
doe_table5,table5_run_01,Rezaee2025_Table5,25.0,9.5,20.0,10.0,1.0,29.69,8.32,0.4222727919214905,0.09075043630017451,4.65312134175027,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_02,Rezaee2025_Table5,35.0,9.5,20.0,10.0,1.0,34.01,12.93,0.5153811183512652,0.14850120592626623,3.470551738193709,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_03,Rezaee2025_Table5,25.0,10.5,20.0,10.0,1.0,41.35,11.14,0.7050298380221655,0.1253657438667567,5.623783788747722,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_04,Rezaee2025_Table5,35.0,10.5,20.0,10.0,1.0,39.24,14.21,0.6458196181698487,0.16563702063177527,3.8990052809846105,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_05,Rezaee2025_Table5,25.0,9.5,40.0,10.0,1.0,33.03,11.3,0.49320591309541595,0.1273957158962796,3.8714481850941054,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_06,Rezaee2025_Table5,35.0,9.5,40.0,10.0,1.0,33.22,16.54,0.4974543276430069,0.1981787682722262,2.5101292735843628,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_07,Rezaee2025_Table5,25.0,10.5,40.0,10.0,1.0,44.53,11.93,0.802776275464215,0.13546042920404225,5.926278841587042,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_08,Rezaee2025_Table5,35.0,10.5,40.0,10.0,1.0,37.79,16.85,0.6074586079408456,0.2026458208057727,2.9976369881472587,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_09,Rezaee2025_Table5,25.0,9.5,20.0,20.0,1.0,34.95,9.61,0.5372790161414297,0.10631707047239737,5.053553618004562,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
doe_table5,table5_run_10,Rezaee2025_Table5,35.0,9.5,20.0,20.0,1.0,30.0,12.73,0.4285714285714286,0.14586914174401283,2.938054090450006,2.2249828675762693,2.1999304186478024,1.0443692247546097,rezaee_source_regressed_li_na_bridge_with_direct_closure_gap,"Distribution coefficients use D = E/(1-E)/(O/A) on an assumed equal-phase-volume basis. SI mole-fraction ratios are kept as equilibrium-composition evidence, not as extraction percentages."
