cost_area,required_input,current_default_or_status,units,source_or_assumption,notes
feed_flowrate,required_user_input,not_set,m3/day,user_needed,"Needed for annual lithium throughput and equipment sizing."
operating_hours,assumption_needed,8000,h/year,placeholder,"Use only as pitch-level placeholder until user approves."
base_feed_li,source_backed,168,mg/L,smackover_selected_base_feed_ms2.csv,"Selected MS-2 base row."
base_feed_tds,source_backed,305000,mg/L,smackover_selected_base_feed_ms2.csv,"Selected MS-2 base row."
pretreatment_case,model_choice,strong_Ca_Mg_removal,categorical,Shan_Gando_process_boundary,"Needed because Ca and Mg inhibit extraction."
extraction_stage_count,model_choice,3,stages,Shan_Gando_table4_and_repo_showcase,"Use as skeleton stage count."
organic_to_aqueous_ratio,source_backed_or_model_choice,1:1,volume ratio,Shan_Gando_process_summary,"Starting point for sensitivity, not final optimum."
HBTA_concentration,source_backed,0.015,mol/L,Shan_Gando_table4_process_summary,"Coexisting-ion and three-stage process basis; actual 15 L process uses higher 0.15 mol/L."
TOPO_concentration,source_backed,0.015,mol/L,Shan_Gando_table4_process_summary,"Coexisting-ion and three-stage process basis; actual 15 L process uses higher 0.15 mol/L."
diluent,source_backed,sulfonated_kerosene,text,Shan_Gando,"Needs ePC-SAFT surrogate representation."
Li_extraction_anchor,source_backed,97.17,percent,non_ionic_case_study_process_summary.csv,"Shan/Gando three-stage after impurity removal; not yet Smackover-calibrated."
Li_extraction_repo_showcase_model,model_artifact,99.99998957530654,percent,hbta_topo_reactive_stage_results.csv,"Selected MS-2 calibrated reactive-stage model after three stages; outside literature capacity envelope."
Li_extraction_costing_cap,source_backed_anchor,97.17,percent,hbta_topo_formal_costing_results.csv,"Formal costing cap used when the extrapolated Smackover model predicts near-total transfer."
Na_extraction_repo_showcase,model_artifact,0.11600192736928028,percent,hbta_topo_reactive_stage_results.csv,"Selected MS-2 calibrated reactive-stage model after three stages."
Li2CO3_purity_anchor,source_backed,99.28,percent,non_ionic_case_study_process_summary.csv,"Shan/Gando actual 15 L process product-purity anchor."
solvent_loss_rate,required_user_input,not_set,percent_or_kg_per_m3,user_needed,"High sensitivity OPEX variable."
HBTA_price,required_user_input,not_set,currency/kg,user_needed,"Needed for solvent makeup cost."
TOPO_price,required_user_input,not_set,currency/kg,user_needed,"Needed for solvent makeup cost."
diluent_price,required_user_input,not_set,currency/kg,user_needed,"Needed for solvent inventory and losses."
NaOH_price,required_user_input,not_set,currency/kg,user_needed,"Needed for saponification and pH/pretreatment."
HCl_price,required_user_input,not_set,currency/kg,user_needed,"Needed for stripping/back-extraction."
carbonate_reagent_price,required_user_input,not_set,currency/kg,user_needed,"Needed for Li2CO3 precipitation."
Li2CO3_price,required_user_input,not_set,currency/kg,user_needed,"Needed for revenue proxy."
avoided_disposal_credit,decision_needed,not_set,currency/m3,user_needed,"Optional; must be separated from direct lithium economics."
