species_or_group,role,local_status,recommended_current_treatment,final_needed_for_predictive_model,notes
water,aqueous solvent,available_in_epcsaft_package_expected,use_package_parameter,verified package parameter and units,"Core aqueous solvent."
Li+,target ion,available_in_epcsaft_package_expected,use_package_ion_parameter,verified ion parameter and water/organic transfer behavior,"Target product species."
Na+,major competitor,available_in_epcsaft_package_expected,use_package_ion_parameter,verified ion parameter and binary interactions,"Main Li/Na selectivity competitor."
K+,competing cation,available_in_epcsaft_package_expected,use_package_ion_parameter,verified ion parameter and binary interactions,"Include in future full feed closure."
Mg2+,divalent competitor,available_but_model_support_may_be_limited,pretreatment_placeholder_then_add_when_stable,validated divalent reactive/electrolyte LLE support,"Major inhibition species; do not ignore without pretreatment."
Ca2+,divalent competitor,reference_only_not_runtime_confirmed,pretreatment_placeholder_then_add_when_stable,curated runtime parameter and validated divalent reactive/electrolyte LLE support,"Largest divalent burden in MS-2; broad reference entry is not enough to claim runtime coverage."
Sr2+,divalent competitor,unverified,pretreatment_or_pass_through_placeholder,parameter and interaction validation,"Important source ion; not in current Li/Na bridge."
Ba2+,divalent competitor,unverified,pretreatment_or_pass_through_placeholder,parameter and interaction validation,"Reported at lower concentration in MS-2."
Cl-,major anion,available_in_epcsaft_package_expected,use_package_ion_parameter,validated with high-TDS feed,"Dominant anion and charge/salinity basis."
Br-,brine anion,unverified,pass_through_or_surrogate_as_cl_for_skeleton,parameter and interaction validation,"Important brine marker; not current Li/Na bridge species."
SO4--,anion,partial_reference_only,pass_through_or_pretreatment_context,parameter and divalent/electroneutrality validation,"Low but relevant to scaling/charge; not confirmed runtime-ready."
HBTA,extractant,missing_or_unverified,effective_capacity_in_wrapper,pure parameters and association/chemistry representation,"Main Phase 4 blocker."
TOPO,synergist,missing,use literature concentration and keep parameter gap,pure parameters and interaction/association representation,"Main Phase 4 blocker; TOP proxy is not the same species."
sulfonated_kerosene,diluent,missing_or_unverified,use explicit diluent-surrogate decision,pseudo-component or defensible surrogate parameters,"Not a single pure component."
kerosene/alkane surrogate,diluent surrogate,possible_but_not_chosen,choose n-dodecane/n-cetane/hexane only with caveat,documented parameter and sensitivity check,"Needed if sulfonated kerosene cannot be parameterized."
Li(BTA)(TOPO)n,organic complex,missing,use fitted reactive-stage bridge,complex pseudo-species or association-site representation,"Needed for true predictive reactive model."
Ca/Mg complexes,competing complexes,missing,pretreatment before extraction,complex parameters and equilibrium constants,"Needed only after Li/Na path is stable."
