contract_field,units,direction,required_for,source_or_current_value,notes
source_id,text,input,all,MS-2,"Selected feed row id."
temperature_C,degC,input,ePC-SAFT_or_surrogate,61.67,"From selected MS-2 feed."
pressure_Pa,Pa,input,ePC-SAFT_or_surrogate,not_set,"User/model default needed if direct equilibrium solve is used."
feed_Li_mg_L,mg/L,input,transfer_model,168,"Selected MS-2 feed."
feed_Na_mg_L,mg/L,input,transfer_model,64100,"Selected MS-2 feed."
feed_Mg_mg_L,mg/L,input,pretreatment,3310,"Pretreatment driver."
feed_Ca_mg_L,mg/L,input,pretreatment,36900,"Pretreatment driver."
feed_TDS_mg_L,mg/L,input,surrogate_feature,305000,"High-salinity trust-region feature."
pretreatment_case,label,input,flowsheet,strong_Ca_Mg_removal_placeholder,"Needed before applying HBTA/TOPO extraction claim."
oa_ratio,dimensionless,input,MSContactor,0.5_to_1.5_in_current_grid,"Design variable."
stage_count,count,input,MSContactor,3,"Current source-regressed Li/Na stage count."
extractant_HBTA_mol_L,mol/L,input,solvent_system,0.015,"Literature process basis for three-stage table; actual 15 L case uses 0.15 M."
synergist_TOPO_mol_L,mol/L,input,solvent_system,0.015,"Literature process basis for three-stage table; actual 15 L case uses 0.15 M."
diluent,text,input,solvent_system,sulfonated_kerosene,"Needs ePC-SAFT surrogate representation."
eta_Li_pct,percent,output,MSContactor_transfer,from_hbta_topo_reactive_stage_results,"Source-regressed Li/Na stage output; not full multication reactive LLE."
eta_Na_pct,percent,output,MSContactor_transfer,from_hbta_topo_reactive_stage_results,"Source-regressed Li/Na stage output; not full multication reactive LLE."
D_Li,dimensionless,output,distribution_ratio,from_hbta_topo_reactive_stage_results,"Transfer variable."
S_Li_Na,dimensionless,output,selectivity,from_hbta_topo_reactive_stage_results,"Transfer variable."
validity_status,label,output,surrogate_diagnostics,outside_literature_capacity_envelope_near_total_transfer,"Must be carried into PrOMMiS/IDAES reporting."
model_status,label,output,audit,source_regressed_li_na_predictive_stage_model_limited_epcsaft,"Prevents overclaiming beyond Li/Na-first scope."
