case_id,feed_id,model_basis,basis_type,temperature_C,aqueous_pH,TOPO_wt_pct_in_organic,TBAC_to_DA_molar_ratio,TDS_feature_mg_L,Li_feed_mg_L,Na_mg_L,Na_Li_mass_ratio,organic_to_aqueous_mass_ratio,stage_count,D_Li,D_Na,one_stage_Li_extraction_pct,one_stage_Na_extraction_pct,cumulative_Li_recovery_pct,cumulative_Na_recovery_pct,selectivity_Li_Na,mass_balance_residual,charge_balance_residual,reaction_residual_lnQ_minus_lnK,validity_flag,extrapolation_flag,validity_notes
smackover_ms2_main_anchor,smackover_ms2_main,surrogate_v1_calibrated_surface,calibrated_transfer_variables,23.0,10.4,10.0,1:2,305000.0,168.0,64100.0,381.548,1.0,3,1.026702312075304,0.0600760216875093,50.65876256015027,5.667142776409161,87.98759098664722,16.05613399498681,17.090051625185605,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable,outside_low_na_li_source_paper_design_space,within_prompt_design_bounds
smackover_high_observed_sensitivity_anchor,smackover_high_observed_sensitivity,surrogate_v1_calibrated_surface,calibrated_transfer_variables,23.0,10.4,10.0,1:2,340000.0,252.0,70800.0,280.952,1.0,3,0.9703816095264644,0.0627669972706923,49.2484097920338,5.905997968687884,86.92779156999772,16.692170146364727,15.460061046755905,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable,outside_low_na_li_source_paper_design_space,within_prompt_design_bounds
marcellus_ne_pa_comparison_anchor,marcellus_ne_pa_comparison,surrogate_v1_calibrated_surface,calibrated_transfer_variables,23.0,10.4,10.0,1:2,100000.0,205.0,15375.0,75.0,1.0,3,0.760694497524104,0.07583181447443144,43.2042298419059,7.0486681518595,81.67905044068048,19.69051318152406,10.031337147821919,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable,outside_low_na_li_source_paper_design_space; below_legacy_surface_range,within_prompt_design_bounds
bakken_high_na_stress_anchor,bakken_high_na_stress,surrogate_v1_calibrated_surface,calibrated_transfer_variables,23.0,10.4,10.0,1:2,258193.0,103.0,79415.0,771.019,1.0,3,1.1688626005523253,0.05431995646492873,53.89288377487174,5.152132057431623,90.19824415776219,14.673738288950434,21.518106357596082,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable,outside_low_na_li_source_paper_design_space; above_legacy_surface_range,within_prompt_design_bounds
source_paper_table7_run_03,source_paper_10wt_topo_anchor,bridge_v0_source_regressed,source_regressed_distribution_bridge,23.0,10.4,10.0,1:2,0.0,1000.0,5000.0,5.0,1.0,1,0.9443904335990668,0.12376729607828148,48.57,11.013605442176871,48.57,11.013605442176866,7.630371378572819,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,not_a_produced_water_case,source-paper bridge anchor; retained as calibration layer
source_paper_table5_run_21,source_paper_10wt_topo_anchor,bridge_v0_source_regressed,source_regressed_distribution_bridge,30.0,10.0,10.0,1:2,0.0,1000.0,15000.0,15.0,1.0,1,0.6131634134537829,0.10852455381886707,38.01,9.79,38.01,9.79,5.649997091692111,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,not_a_produced_water_case,source-paper bridge anchor; retained as calibration layer
source_paper_table8_li_na,source_paper_10wt_topo_anchor,bridge_v0_source_regressed,source_regressed_distribution_bridge,23.0,10.4,10.0,1:2,0.0,1000.0,1186696.5174129352,1186.6965174129352,1.0,1,1.067397146991937,0.11074086415639232,51.63,9.97,51.629999999999995,9.97,9.638692592144842,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,not_a_produced_water_case,source-paper bridge anchor; retained as calibration layer
tbac_da_topo_lhc_01,smackover_ms2_main,surrogate_v1_calibrated_surface,calibrated_transfer_variables,24.09090909090909,9.972727272727273,10.0,1:2,181818.18181818182,120.0,12190.940657364163,101.59117214470136,0.6363636363636364,1,0.8044616843042494,0.07260757805309831,33.85937891546766,4.416422234753777,33.859378915467666,4.416422234753781,11.079582956422843,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,outside_low_na_li_source_paper_design_space; below_legacy_surface_range,"residual divalent is a pretreatment-leakage guardrail, not an extracted species; temperature/pH carried as design metadata; current transfer bridge is calibrated at the nominal surface"
tbac_da_topo_lhc_02,smackover_high_observed_sensitivity,surrogate_v1_calibrated_surface,calibrated_transfer_variables,30.909090909090907,10.8,10.0,1:2,309090.90909090906,260.0,72634.84461332487,279.3647869743264,1.0454545454545454,3,0.9693687037154861,0.06281793066314216,50.333533110171814,6.162610219600618,87.74848487796207,17.371901933337398,15.431401408519402,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,outside_low_na_li_source_paper_design_space,"residual divalent is a pretreatment-leakage guardrail, not an extracted species; temperature/pH carried as design metadata; current transfer bridge is calibrated at the nominal surface"
tbac_da_topo_lhc_03,marcellus_ne_pa_comparison,surrogate_v1_calibrated_surface,calibrated_transfer_variables,21.363636363636363,10.209090909090909,10.0,1:2,130909.09090909091,160.0,122915.6944306899,768.2230901918118,1.4545454545454546,5,1.1680800988747333,0.05434821706783202,62.94959185987628,7.326056168557538,99.30182389310896,31.642176529173582,21.49251920107797,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,outside_low_na_li_source_paper_design_space; above_legacy_surface_range,"residual divalent is a pretreatment-leakage guardrail, not an extracted species; temperature/pH carried as design metadata; current transfer bridge is calibrated at the nominal surface"
tbac_da_topo_lhc_04,bakken_high_na_stress,surrogate_v1_calibrated_surface,calibrated_transfer_variables,28.18181818181818,9.618181818181819,10.0,1:2,258181.81818181818,300.0,55919.932882918016,186.3997762763934,1.8636363636363635,2,0.8996954873269052,0.06656454314793549,62.64063782056134,11.036152398351696,86.04278057545528,20.854338199106948,13.516137042019336,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,outside_low_na_li_source_paper_design_space,"residual divalent is a pretreatment-leakage guardrail, not an extracted species; temperature/pH carried as design metadata; current transfer bridge is calibrated at the nominal surface"
tbac_da_topo_lhc_05,smackover_ms2_main,surrogate_v1_calibrated_surface,calibrated_transfer_variables,35.0,10.445454545454545,10.0,1:2,80000.0,200.0,102515.86371568953,512.5793185784477,0.6363636363636364,4,1.0841245335917213,0.0575896754610494,40.8248109044476,3.5352382068775907,87.73807606831501,13.408595313429272,18.82498077845508,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,outside_low_na_li_source_paper_design_space,"residual divalent is a pretreatment-leakage guardrail, not an extracted species; temperature/pH carried as design metadata; current transfer bridge is calibrated at the nominal surface"
tbac_da_topo_lhc_06,smackover_high_observed_sensitivity,surrogate_v1_calibrated_surface,calibrated_transfer_variables,25.454545454545453,9.854545454545455,10.0,1:2,207272.7272727273,100.0,12437.099525747528,124.37099525747527,1.0454545454545454,1,0.8350300219244289,0.07053461261329194,46.60931601734823,6.867647767674961,46.609316017348235,6.867647767674967,11.838585213510779,0.0,0.0,not_evaluated_for_calibrated_transfer_bridge,calibrated_transfer_variable_with_notes,outside_low_na_li_source_paper_design_space,"residual divalent is a pretreatment-leakage guardrail, not an extracted species; temperature/pH carried as design metadata; current transfer bridge is calibrated at the nominal surface"
