basis_type,phase_mass_aq,phase_mass_org,phase_volume_aq,phase_volume_org,density_aq,density_org,reaction_extent_Li,reaction_extent_Na,mass_balance_residual,charge_balance_residual,lnQ_minus_lnK_residual,closure_status,failure_reason,model_basis
O/A as mass ratio,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,37.75847741297254,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
O/A as volume ratio,1.0,0.916,1.0,1.0,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,37.75847741297254,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
equal phase masses,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,37.75847741297254,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
equal phase volumes,1.0,0.916,1.0,1.0,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,37.75847741297254,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
density-corrected O/A,1.0,0.916,1.0,1.0,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,41.41804436254249,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
pH-stoichiometric H/OH basis,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,17.551718228347315,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
NH4/OH buffer basis,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,24.262806940679756,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
explicit reaction-coordinate basis,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,not_lnQ_metric; max_extraction_pct_error=56.46,diagnostic_only_not_closed,reaction-coordinate replay matches algebraic limits but not a direct phase-equilibrium closure,direct_epcsaft_v1_not_promoted
best inverse-constant numerical variant,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,13.568652259064464,not_source_supported,lower residual but not the source-supported constant convention,direct_epcsaft_v1_not_promoted
direct ePC-SAFT option scan best case,1.0,1.0,1.0,1.0917030567685588,1.0,0.916,0.04278097982708934,0.036190011304593796,0.0,8.000012776017418e-07,33.7571925407821,not_closed,phase-inventory / reaction-coordinate reference-state convention not resolved; do not promote direct reactive-LLE transfer variables,direct_epcsaft_v1_not_promoted
