case_id,feed_id,stage_count,stage,li_feed_mg_L,na_feed_mg_L,k_Li,k_Na,li_stage_extraction_pct,na_stage_extraction_pct,li_aq_out_mg_L,na_aq_out_mg_L,cl_aq_out_mg_L,li_cumulative_recovery_pct,na_cumulative_recovery_pct,o_to_a_ratio,topo_wt_pct,prommis_object_type,mscontactor_object_type,degrees_of_freedom,termination_condition,mass_balance_residual_mol_per_h,material_transfer_constraints_active,chloride_transfer_allowed,model_basis,backend_name,direct_epcsaft_closure,notes
smackover_ms2_main_1stage,smackover_ms2_main,1,1,168.0,64100.0,0.4568112505952043,0.10713827005215902,45.681125059520426,10.713827005215915,91.2557099000057,57232.4368896566,99699.73042290837,45.681125059520426,10.713827005215915,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_3stage,smackover_ms2_main,3,1,168.0,64100.0,0.4568112505952043,0.10713827005215902,45.681125059520426,10.713827005215915,91.2557099000057,57232.4368896566,99699.73042290837,45.681125059520426,10.713827005215915,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_3stage,smackover_ms2_main,3,2,91.2557099000057,57232.4368896566,0.4542784395933327,0.10793299987033114,45.42784395933326,10.793299987033112,49.800208402649275,51055.16828626656,88717.99994745724,70.35701880794686,20.3507515034843,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,0.0,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_3stage,smackover_ms2_main,3,3,49.800208402649275,51055.16828626656,0.45248908806964233,0.1086876466141649,45.24890880696423,10.868764661416485,27.266157516856367,45506.102197742104,78980.95444187486,83.77014433520455,29.007640877157403,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_5stage,smackover_ms2_main,5,1,168.0,64100.0,0.4568112505952043,0.10713827005215902,45.681125059520426,10.713827005215915,91.2557099000057,57232.4368896566,99699.73042290837,45.681125059520426,10.713827005215915,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_5stage,smackover_ms2_main,5,2,91.2557099000057,57232.4368896566,0.4542784395933327,0.10793299987033114,45.42784395933326,10.793299987033112,49.800208402649275,51055.16828626656,88717.99994745724,70.35701880794686,20.3507515034843,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,0.0,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_5stage,smackover_ms2_main,5,3,49.800208402649275,51055.16828626656,0.45248908806964233,0.1086876466141649,45.24890880696423,10.868764661416485,27.266157516856367,45506.102197742104,78980.95444187486,83.77014433520455,29.007640877157403,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_5stage,smackover_ms2_main,5,4,27.266157516856367,45506.102197742104,0.45111409303623135,0.10942148633186785,45.11140930362313,10.942148633186799,14.966009598056688,40526.75685809528,70309.24316548009,91.09166095353768,36.77573033058459,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,2.2737367544323206e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_ms2_main_5stage,smackover_ms2_main,5,5,14.966009598056688,40526.75685809528,0.4499671373069401,0.11014678959831255,44.99671373069402,11.014678959831258,8.23179710231093,36062.86469734469,62568.31121128276,95.10012077243397,43.73968065936866,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,2.2737367544323206e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_high_observed_sensitivity_3stage,smackover_high_observed_sensitivity,3,1,252.0,70800.0,0.45904499868305143,0.10665837269691264,45.90449986830515,10.66583726969127,136.32066033187104,63248.58721305858,110460.14288453486,45.90449986830515,10.66583726969127,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_high_observed_sensitivity_3stage,smackover_high_observed_sensitivity,3,2,136.32066033187104,63248.58721305858,0.45574433165295314,0.10748813332316266,45.57443316529529,10.748813332316276,74.19329209843326,56450.11463819965,98225.0399515609,70.55821742125664,20.268199663559816,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,4.547473508864641e-13,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
smackover_high_observed_sensitivity_3stage,smackover_high_observed_sensitivity,3,3,74.19329209843326,56450.11463819965,0.4535202768049874,0.10826284894514893,45.35202768049873,10.826284894514904,40.545129728878536,50338.6644041879,87424.51065581823,83.91066280600057,28.900191519508624,1.0,10.0,_ScalarSolventExtraction,_ScalarMSContactor,0,optimal,0.0,True,False,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,False,Real PrOMMiS SolventExtraction/MSContactor object with Li/Na transfer terms constrained from the IDAES AlamoSurrogate.
