design_id,domain,row_type,li_mg_L,na_mg_L,o_to_a_ratio,topo_wt_pct,logit_k_Li,logit_k_Na,k_Li,k_Na,synthetic_demo_data,model_basis,backend_name,direct_epcsaft_closure
src_lhs_002,source-paper-valid,generated_source_domain,1701.91680691,20076.4730195,0.713732366987,5.39599227157,-0.622966241102,-2.56698260322,0.34910712716,0.0712938307496,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_003,source-paper-valid,generated_source_domain,1276.21083823,13467.8353184,0.826135850636,6.74483251436,-0.358538351253,-2.42357439434,0.411313435878,0.0813926054932,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_004,source-paper-valid,generated_source_domain,1683.43811277,10585.6760572,0.84863247157,6.25987810028,-0.34973307593,-2.41002942198,0.413447150971,0.082411093225,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_005,source-paper-valid,generated_source_domain,1127.99773254,6488.28762947,0.793145652989,8.90910650974,-0.295138551295,-2.47995959631,0.426746332633,0.0772750830175,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_007,source-paper-valid,generated_source_domain,1131.75202107,26695.1235577,0.512068591943,8.26542954576,-0.769321576176,-2.88152533803,0.316625881229,0.0530744243958,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_008,source-paper-valid,generated_source_domain,1202.26533643,24560.0787357,0.644810554902,5.06920163887,-0.795457025871,-2.65463535525,0.310998142839,0.0657038859936,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_009,source-paper-valid,generated_source_domain,1902.34724132,20129.8426276,0.933684981022,9.82194430897,-0.0974012902083,-2.3011253561,0.475668910184,0.0910298023848,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_010,source-paper-valid,generated_source_domain,1143.00140685,13672.6137234,0.957662370108,5.16179259316,-0.38419330201,-2.27264004621,0.405115923049,0.0934143915065,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_012,source-paper-valid,generated_source_domain,1076.08775827,11617.0382139,1.02667681463,14.5095898523,-0.275635419618,-2.0763307841,0.431524134287,0.111418718304,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_013,source-paper-valid,generated_source_domain,1890.9144019,30709.2260181,1.46789119874,6.04239263921,0.170240756456,-1.83779297223,0.542457696498,0.137312523006,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
