design_id,domain,row_type,li_mg_L,na_mg_L,na_li_mass_ratio,o_to_a_ratio,topo_wt_pct,k_Li,k_Na,logit_k_Li,logit_k_Na,Li_extraction_pct,Na_extraction_pct,D_Li,D_Na,Li_Na_selectivity_process,Li_Na_selectivity_source_definition,validity_flag,extrapolation_flag,synthetic_demo_data,model_basis,backend_name,direct_epcsaft_closure
src_lhs_001,source-paper-valid,generated_source_domain,1662.70545854,26923.9668933,16.1928661237,0.568904591521,12.3554212826,0.340068812072,0.063392442074,-0.662987583289,-2.6929197221,34.0068812072,6.3392442074,0.905792482754,0.118970801001,7.61356967538,5.36450089232,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_002,source-paper-valid,generated_source_domain,1701.91680691,20076.4730195,11.7963891878,0.713732366987,5.39599227157,0.34910712716,0.0712938307496,-0.622966241102,-2.56698260322,34.910712716,7.12938307496,0.75147373685,0.107556888057,6.98675603604,4.89673683529,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_003,source-paper-valid,generated_source_domain,1276.21083823,13467.8353184,10.5529861642,0.826135850636,6.74483251436,0.411313435878,0.0813926054932,-0.358538351253,-2.42357439434,41.1313435878,8.13926054932,0.845740841397,0.107251542023,7.88558211326,5.05344967624,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_004,source-paper-valid,generated_source_domain,1683.43811277,10585.6760572,6.2881290241,0.84863247157,6.25987810028,0.413447150971,0.082411093225,-0.34973307593,-2.41002942198,41.3447150971,8.2411093225,0.830602453538,0.105832212502,7.84829527704,5.01688710574,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_005,source-paper-valid,generated_source_domain,1127.99773254,6488.28762947,5.75203960281,0.793145652989,8.90910650974,0.426746332633,0.0772750830175,-0.295138551295,-2.47995959631,42.6746332633,7.72750830175,0.938577215914,0.105587931901,8.88905766989,5.52243124134,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_006,source-paper-valid,generated_source_domain,1520.07272714,9467.74107427,6.22847900972,1.18743989654,5.91438397781,0.486804958943,0.111615212023,-0.0527924220287,-2.07434761983,48.6804958943,11.1615212023,0.798842028537,0.105806083414,7.55005764096,4.36145709998,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_007,source-paper-valid,generated_source_domain,1131.75202107,26695.1235577,23.5874317525,0.512068591943,8.26542954576,0.316625881229,0.0530744243958,-0.769321576176,-2.88152533803,31.6625881229,5.30744243958,0.904814904242,0.109456437082,8.26643848793,5.96569599829,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_008,source-paper-valid,generated_source_domain,1202.26533643,24560.0787357,20.4281683847,0.644810554902,5.06920163887,0.310998142839,0.0657038859936,-0.795457025871,-2.65463535525,31.0998142839,6.57038859936,0.700011645805,0.109062230615,6.41846074352,4.73332951524,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_009,source-paper-valid,generated_source_domain,1902.34724132,20129.8426276,10.5815816326,0.933684981022,9.82194430897,0.475668910184,0.0910298023848,-0.0974012902083,-2.3011253561,47.5668910184,9.10298023848,0.971625231527,0.107258960268,9.05868590463,5.22541956286,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_010,source-paper-valid,generated_source_domain,1143.00140685,13672.6137234,11.9620270295,0.957662370108,5.16179259316,0.405115923049,0.0934143915065,-0.38419330201,-2.27264004621,40.5115923049,9.34143915065,0.711106332552,0.107595112942,6.60909508908,4.3367613546,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_011,source-paper-valid,generated_source_domain,1134.38492053,23105.1459575,20.3679946193,0.651113961579,14.1171141389,0.333809009187,0.0743166302565,-0.691007401782,-2.52219749038,33.3809009187,7.43166302565,0.769559653818,0.12330098324,6.24130995227,4.49171347026,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_012,source-paper-valid,generated_source_domain,1076.08775827,11617.0382139,10.7956234282,1.02667681463,14.5095898523,0.431524134287,0.111418718304,-0.275635419618,-2.0763307841,43.1524134287,11.1418718304,0.739365707581,0.122131374098,6.05385563735,3.87299495863,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_013,source-paper-valid,generated_source_domain,1890.9144019,30709.2260181,16.2404104529,1.46789119874,6.04239263921,0.542457696498,0.137312523006,0.170240756456,-1.83779297223,54.2457696498,13.7312523006,0.807682651473,0.10843332789,7.44865685848,3.95053331352,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_014,source-paper-valid,generated_source_domain,1241.45595902,26019.3783948,20.9587607242,0.705607817199,7.47438334175,0.382726135637,0.0714989990782,-0.47799310702,-2.5638880081,38.2726135637,7.14989990782,0.878712587481,0.109132524677,8.05179381748,5.35288802041,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_015,source-paper-valid,generated_source_domain,1343.53201974,12164.3184215,9.05398475274,1.46169886093,13.4420765149,0.550464659701,0.148616248064,0.202548285196,-1.74549550203,55.0464659701,14.8616248064,0.837736993972,0.119421638836,7.01495141195,3.70393322985,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
src_lhs_016,source-paper-valid,generated_source_domain,1382.4796968,21441.3460804,15.5093388569,1.0546854739,7.43037160035,0.483123518325,0.102519134076,-0.0675315798956,-2.16954234577,48.3123518325,10.2519134076,0.886234072253,0.108307059846,8.18260668803,4.71252047417,source_paper_valid_domain,within_declared_domain,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false
