design_id,domain,row_type,li_mg_L,na_mg_L,na_li_mass_ratio,o_to_a_ratio,topo_wt_pct,temperature_C,aqueous_pH,solvent_base,TBAC_to_DA_molar_ratio,source_anchor_flag,synthetic_demo_data,model_basis,backend_name,direct_epcsaft_closure,validity_flag,extrapolation_flag
src_lhs_001,source-paper-valid,generated_source_domain,1662.70545854,26923.9668933,16.1928661237,0.568904591521,12.3554212826,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_002,source-paper-valid,generated_source_domain,1701.91680691,20076.4730195,11.7963891878,0.713732366987,5.39599227157,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_003,source-paper-valid,generated_source_domain,1276.21083823,13467.8353184,10.5529861642,0.826135850636,6.74483251436,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_004,source-paper-valid,generated_source_domain,1683.43811277,10585.6760572,6.2881290241,0.84863247157,6.25987810028,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_005,source-paper-valid,generated_source_domain,1127.99773254,6488.28762947,5.75203960281,0.793145652989,8.90910650974,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_006,source-paper-valid,generated_source_domain,1520.07272714,9467.74107427,6.22847900972,1.18743989654,5.91438397781,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_007,source-paper-valid,generated_source_domain,1131.75202107,26695.1235577,23.5874317525,0.512068591943,8.26542954576,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_008,source-paper-valid,generated_source_domain,1202.26533643,24560.0787357,20.4281683847,0.644810554902,5.06920163887,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_009,source-paper-valid,generated_source_domain,1902.34724132,20129.8426276,10.5815816326,0.933684981022,9.82194430897,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_010,source-paper-valid,generated_source_domain,1143.00140685,13672.6137234,11.9620270295,0.957662370108,5.16179259316,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_011,source-paper-valid,generated_source_domain,1134.38492053,23105.1459575,20.3679946193,0.651113961579,14.1171141389,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_012,source-paper-valid,generated_source_domain,1076.08775827,11617.0382139,10.7956234282,1.02667681463,14.5095898523,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
src_lhs_013,source-paper-valid,generated_source_domain,1890.9144019,30709.2260181,16.2404104529,1.46789119874,6.04239263921,23,10.4,TBAC(1):DA(2) hydrophobic DES,1:2,false,true,source_paper_anchored_synthetic_stage_response,synthetic_source_anchored_demo,false,source_paper_valid_domain,within_declared_domain
