section,oa_ratio,e_li_exp_pct,e_mg_exp_pct,e_li_calc_pct,e_mg_calc_pct,xi_li_mol_per_l_aq,xi_mg_mol_per_l_aq,free_il_mol_per_l_org,free_top_mol_per_l_org,hoemim_aq_mol_per_l
digitized_point,1.0,37.0,0.8,51.641289765771354,0.20401270819798006,0.056998887551269244,0.00830686709513322,0.024694245353597533,1.8346942453535975,0.07091675464640246
digitized_point,2.0,75.0,0.7,71.15287236322831,0.46996529366335443,0.07853472655653153,0.019135764964201347,0.04116475423963356,1.8511647542396334,0.10328149152073288
digitized_point,3.0,83.2,0.7,79.40196656155376,0.7325447489921818,0.08763963456217605,0.029827317743415106,0.050844349231469625,1.8608443492314695,0.12307795230559115
digitized_point,4.0,87.3,0.9,83.75543590122614,0.9773748233839931,0.09244476066331297,0.039796161874883246,0.05693976936545094,1.8669397693654508,0.13785192253819623
digitized_point,5.0,88.7,1.1,86.4293755207708,1.2045374629461194,0.0953961118860381,0.04904563399105664,0.061111650824581046,1.8711116508245813,0.15005274587709475
digitized_point,6.0,89.0,1.4,88.24208503602915,1.4163548996736177,0.09739688348357108,0.05767028934154396,0.06415547119581418,1.874155471195814,0.16067817282511504
dense_curve,1.0,,,51.641289765771354,0.20401270819798006,0.056998887551269244,0.00830686709513322,0.024694245353597533,1.8346942453535975,0.07091675464640246
dense_curve,1.02,,,52.252348713731614,0.20905795432397858,0.05767334166385939,0.00851229640098918,0.0251121195442661,1.8351121195442661,0.07179663806484857
dense_curve,1.04,,,52.85084623605982,0.214125741883025,0.05833393114815824,0.008718643535396687,0.025526370496581803,1.8355263704965816,0.07266357468355493
dense_curve,1.06,,,53.437045887353825,0.21921516878220476,0.05898094690160379,0.008925871767477481,0.025936963519734648,1.8359369635197345,0.07351781866908128
dense_curve,1.08,,,54.01120888045813,0.22432534689324587,0.05961467723693216,0.00913394493495724,0.026343868359361672,1.8363438683593616,0.0743596221718894
dense_curve,1.1,,,54.5735938187724,0.2294554027546008,0.0602354075867142,0.009342827472752533,0.026747059036848424,1.836747059036848,0.07518923505946673
dense_curve,1.12,,,55.12445645223617,0.23460447819168512,0.06084342023402435,0.009552484438225322,0.02714651368549136,1.8371465136854914,0.07600690467224967
dense_curve,1.1400000000000001,,,55.66404945623367,0.23977173085868078,0.06143899406840776,0.009762881533243792,0.02754221438451619,1.8375422143845157,0.07681287560165156
dense_curve,1.16,,,56.19262223258753,0.24495633470546394,0.06202240436622773,0.009973985123194423,0.027934146991877448,1.837934146991877,0.07760738948942215
