metric,value
Nominal one-stage Li extraction (%),52.00472287377231
Nominal one-stage Na extraction (%),0.906746516991823
Stage 3 cumulative Li extraction (%),97.80245363319239
Stage 3 cumulative Na extraction (%),3.5827126965000677
Stage 3 Li/Na selectivity,382.74538345690655
Stage 3 Li distribution ratio,5.894094288680309
Stage 3 Li remaining in raffinate (mg/L),1.3185278200845698
Stage 3 Na remaining in raffinate (mg/L),10509.484316081493
Stage 3 Li minus paper (pct-pts),0.6324536331923838
Nominal salt-out factor,6.0
